"","Minute","Team","Margin"
"805",37,"ORL",-20
"806",38,"ORL",3
"807",39,"ORL",-3
"808",40,"ORL",8
"809",41,"ORL",-15
"810",42,"ORL",-32
"811",43,"ORL",7
"812",44,"ORL",30
"813",45,"ORL",-17
"814",46,"ORL",-2
"815",47,"ORL",7
"816",48,"ORL",-26
"817",1,"MIA",-27
"818",2,"MIA",38
"819",3,"MIA",30
"820",4,"MIA",-32
"821",5,"MIA",38
"822",6,"MIA",12
"823",7,"MIA",-7
"824",8,"MIA",-25
"825",9,"MIA",1
"826",10,"MIA",-15
"827",11,"MIA",66
"828",12,"MIA",-17
"829",13,"MIA",45
"830",14,"MIA",27
"831",15,"MIA",27
"832",16,"MIA",-20
"833",17,"MIA",-1
"834",18,"MIA",-9
"835",19,"MIA",-69
"836",20,"MIA",31
"837",21,"MIA",16
"838",22,"MIA",-25
"839",23,"MIA",-9
"840",24,"MIA",-19
"841",25,"MIA",20
"842",26,"MIA",2
"843",27,"MIA",-18
"844",28,"MIA",30
"845",29,"MIA",19
"846",30,"MIA",-28
"847",31,"MIA",6
"848",32,"MIA",-26
"849",33,"MIA",-14
"850",34,"MIA",-5
"851",35,"MIA",0
"852",36,"MIA",-2
"853",37,"MIA",21
"854",38,"MIA",-11
"855",39,"MIA",16
"856",40,"MIA",-10
"857",41,"MIA",15
"858",42,"MIA",-25
"859",43,"MIA",-54
"860",44,"MIA",4
"861",45,"MIA",-11
"862",46,"MIA",-1
"863",47,"MIA",-10
"864",48,"MIA",15
"865",1,"NOP",11
"866",2,"NOP",-5
"867",3,"NOP",-14
"868",4,"NOP",-15
"869",5,"NOP",19
"870",6,"NOP",-20
"871",7,"NOP",-27
"872",8,"NOP",-35
"873",9,"NOP",-15
"874",10,"NOP",-44
"875",11,"NOP",-23
"876",12,"NOP",-38
"877",13,"NOP",-1
"878",14,"NOP",-17
"879",15,"NOP",2
"880",16,"NOP",-11
"881",17,"NOP",-6
"882",18,"NOP",-36
"883",19,"NOP",8
"884",20,"NOP",-27
"885",21,"NOP",-2
"886",22,"NOP",51
"887",23,"NOP",25
"888",24,"NOP",7
"889",25,"NOP",-32
"890",26,"NOP",-9
"891",27,"NOP",41
"892",28,"NOP",8
"893",29,"NOP",40
"894",30,"NOP",15
"895",31,"NOP",22
"896",32,"NOP",28
"897",33,"NOP",-18
"898",34,"NOP",1
